,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
125,Ligne 9,@Ligne9_RATP,2021-12-28T20:23:53.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 28, 2021",[Incident d'exploitation] 21h20 Une rame stationne à Richelie- Drouot en direction de Mairie de Montreuil #ligne9 #RATP,⚠,1.0,,2.0,[],https://twitter.com/Ligne9_RATP/status/1475925491710402567
126,Ligne 9,@Ligne9_RATP,2021-12-24T06:25:36.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 24, 2021","  En raison d'une panne de signalisation entre Porte de Montreuil et Mairie de Montreuil, le trafic est perturbé sur la #Ligne9 #RATP",⚠,1.0,,3.0,[],https://twitter.com/Ligne9_RATP/status/1474264980807639044
127,Ligne 9,@Ligne9_RATP,2021-12-23T16:53:58.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 23, 2021"," en raison d'un bagage oublié, la rame stationne à la station Grands Boulevards en direction de Pont de Sevres. #ligne9 #RATP",⚠,1.0,,1.0,[],https://twitter.com/Ligne9_RATP/status/1474060725052223494
128,Ligne 9,@Ligne9_RATP,2021-12-21T16:47:46.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 21, 2021","En raison d'un malaise voyageur, la rame stationne à la station Mairie de Montreuil en direction de Pont de Sèvres. #ligne9 #RATP.",⚠,1.0,,1.0,[],https://twitter.com/Ligne9_RATP/status/1473334391053197314
129,Ligne 9,@Ligne9_RATP,2021-12-17T20:32:29.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 17, 2021",[Panne de signalisation] 21h30 - Le trafic est perturbé sur l'ensemble de la #Ligne9 #RATP,⚠,1.0,,3.0,[],https://twitter.com/Ligne9_RATP/status/1471941391395737608
130,Ligne 9,@Ligne9_RATP,2021-12-17T14:43:42.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 17, 2021",[Incident d'exploitation] 15:43 - Le trafic est perturbé sur l'ensemble de la #Ligne9 #RATP,⚠,1.0,,2.0,[],https://twitter.com/Ligne9_RATP/status/1471853614499090440
131,Ligne 9,@Ligne9_RATP,2021-12-16T17:47:09.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 16, 2021",[ Incident voyageur à Miromesnil] 18:47- Le trafic est perturbé sur l'ensemble de la #Ligne9 #RATP,⚠,2.0,,4.0,[],https://twitter.com/Ligne9_RATP/status/1471537393111113735
132,Ligne 9,@Ligne9_RATP,2021-12-16T04:52:05.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 16, 2021",[ Panne de signalisation] 05:52 - Le trafic est perturbé de Porte de Montreuil vers Pont de Sèvres sur la #Ligne9 #RATP,⚠,9.0,1.0,5.0,[],https://twitter.com/Ligne9_RATP/status/1471342344070914051
133,Ligne 9,@Ligne9_RATP,2021-12-15T18:25:13.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 15, 2021",[ Bagage oublié] 19:24 - Une rame stationne à Pont de Sèvres en direction de Mairie de Montreuil #Ligne9 #RATP,⚠,1.0,,3.0,[],https://twitter.com/Ligne9_RATP/status/1471184587594219521
134,Ligne 9,@Ligne9_RATP,2021-12-15T10:32:24.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 15, 2021", Incident affectant la voie. 11h30. Le trafic est perturbé sur l'ensemble de la #ligne9 #RATP,⚠,4.0,,3.0,[],https://twitter.com/Ligne9_RATP/status/1471065598964768773
