,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Ligne 9,@Ligne9_RATP,2022-02-18T18:16:10.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 18, 2022", L’incident lié à des personnes sur les voies à la station Nation est terminé. Le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP,✅,,,4,[],https://twitter.com/Ligne9_RATP/status/1494737522718617609
1,Ligne 9,@Ligne9_RATP,2022-02-18T18:15:31.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 18, 2022"," En répercussion de personnes sur les voies à la station Nation, le trafic reprend progressivement sur l’ensemble de la #Ligne9 #RATP",⚠,5,1,3,[],https://twitter.com/Ligne9_RATP/status/1494737357194465280
2,Ligne 9,@Ligne9_RATP,2022-02-17T06:28:00.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 17, 2022","[  Incident technique] 07h25 : Fin d'incident, le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP",✅,1,,2,[],https://twitter.com/Ligne9_RATP/status/1494196918779629568
3,Ligne 9,@Ligne9_RATP,2022-02-16T11:00:01.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 16, 2022",Fin d'incident. Le trafic reprend progressivement sur l'ensemble de la ligne. #ligne9 #ratp,,1,,1,[],https://twitter.com/Ligne9_RATP/status/1493902984421511175
4,Ligne 9,@Ligne9_RATP,2022-02-15T18:13:52.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 15, 2022", Accident Grave de Personne (Strasbourg Saint Denis) 19h13 : le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP,✅,1,,2,[],https://twitter.com/Ligne9_RATP/status/1493649777896087558
5,Ligne 9,@Ligne9_RATP,2022-02-15T14:42:26.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 15, 2022",Accident Grave de Personne (Strasbourg Saint Denis) 15h41 : le trafic reprend progressivement sur l'ensemble de la ligne. #Ligne9 #RATP,⚠,1,,3,[],https://twitter.com/Ligne9_RATP/status/1493596567739248642
6,Ligne 9,@Ligne9_RATP,2022-02-15T11:34:38.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 15, 2022",Le trafic est rétabli sur l'ensemble de la #ligne9 #RATP,✅,1,,1,[],https://twitter.com/Ligne9_RATP/status/1493549308699975684
7,Ligne 9,@Ligne9_RATP,2022-02-15T06:47:36.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 15, 2022", L'incident est terminé (Panne de signalisation). Le trafic reprend progressivement sur l'ensemble de la #Ligne9 #RATP,⚠,1,1,5,[],https://twitter.com/Ligne9_RATP/status/1493477072009936897
8,Ligne 9,@Ligne9_RATP,2022-01-25T19:01:04.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 25, 2022", Le trafic est rétabli sur l'ensemble de la ligne (divers incident) #Ligne9 #RATP,✅,1,,2,[],https://twitter.com/Ligne9_RATP/status/1486051510568075272
9,Ligne 9,@Ligne9_RATP,2022-01-25T13:17:33.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 25, 2022", Panne de signalisation sur Mairie de Montreuil - L'incident est terminé et le trafic est rétabli sur l'ensemble de la #ligne9 #RATP,✅,,,2,[],https://twitter.com/Ligne9_RATP/status/1485965061923348480
10,Ligne 9,@Ligne9_RATP,2022-01-25T12:56:11.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 25, 2022", Panne de signalisation sur Mairie de Montreuil - L'incident est terminé et le trafic reprend progressivement sur l'ensemble de la #ligne9 #RATP,⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1485959683814965254
11,Ligne 9,@Ligne9_RATP,2022-01-25T12:09:46.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 25, 2022",Panne de signalisation à Mairie de Montreuil - le trafic est rétabli sur l'ensemble de la #ligne9 #RATP,✅,1,,2,[],https://twitter.com/Ligne9_RATP/status/1485948003684954124
12,Ligne 9,@Ligne9_RATP,2022-01-25T11:49:45.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 25, 2022","[ Panne de signalisation] 12h50 : le trafic reprend progressivement entre Porte de Montreuil et Mairie de Montreuil, et est perturbé sur le reste de la #ligne9 #RATP",⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1485942968523628555
13,Ligne 9,@Ligne9_RATP,2022-01-25T10:43:31.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 25, 2022","[ Panne de signalisation] 11h44 : le trafic reprend progressivement entre Porte de Montreuil et Mairie de Montreuil, et est perturbé sur le reste de la #ligne9 #RATP",⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1485926299000578048
14,Ligne 9,@Ligne9_RATP,2022-01-20T06:01:55.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 20, 2022",[ Personnes sur les voies] 7:00 L'incident est terminé et le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP,✅,,,1,[],https://twitter.com/Ligne9_RATP/status/1484043493198770181
15,Ligne 9,@Ligne9_RATP,2022-01-20T05:33:35.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 20, 2022",[Personnes sur les voies] 6:30 L'incident est terminé et le trafic reprend progressivement sur l'ensemble de la #Ligne9 #RATP,⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1484036363997614081
16,Ligne 9,@Ligne9_RATP,2022-01-19T08:57:09.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 19, 2022",[Malaise voyageur à Franklin D.Roosevelt] 09h56 : Le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP,✅,,,2,[],https://twitter.com/Ligne9_RATP/status/1483725203003822082
17,Ligne 9,@Ligne9_RATP,2022-01-18T05:54:01.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 18, 2022",[Personne sur les voies] 06:55. Le trafic est rétabli sur la #ligne9 #RATP,✅,,,2,[],https://twitter.com/Ligne9_RATP/status/1483316730122416130
18,Ligne 9,@Ligne9_RATP,2022-01-17T14:45:02.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 17, 2022",[ Acte de malveillance] 15:44 - Le trafic est rétabli sur l’ensemble de la #Ligne9 #RATP,✅,,,3,[],https://twitter.com/Ligne9_RATP/status/1483087977337307136
19,Ligne 9,@Ligne9_RATP,2022-01-16T12:39:27.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 16, 2022",[Intervention des équipes techniques] 13h38 Fin d'incident : Le trafic reprend progressivement sur la #ligne9 #RATP,⚠,1,,2,[],https://twitter.com/Ligne9_RATP/status/1482693984938041353
20,Ligne 9,@Ligne9_RATP,2022-01-16T10:31:26.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 16, 2022",Malaise voyageur 11h22 Le trafic est rétabli sur l'ensemble de la ligne. #ligne9 #RATP,✅,,,1,[],https://twitter.com/Ligne9_RATP/status/1482661768719736836
21,Ligne 9,@Ligne9_RATP,2022-01-16T05:54:50.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 16, 2022",Incident d'exploitation 6h54 Le trafic est rétabli sur l'ensemble de la ligne. #ligne9 #RATP,✅,,,1,[],https://twitter.com/Ligne9_RATP/status/1482592160608407553
22,Ligne 9,@Ligne9_RATP,2022-01-16T05:48:31.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 16, 2022",Incident d'exploitation 6h48 Le trafic reprend progressivement sur l'ensemble de la ligne. #ligne9 #RATP,⚠,,,2,[],https://twitter.com/Ligne9_RATP/status/1482590567548739584
23,Ligne 9,@Ligne9_RATP,2022-01-16T00:25:14.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 16, 2022",[ Incident d'exploitation] 01h25 le trafic est rétabli sur l'ensemble de la #ligne9 #RATP,✅,,,1,[],https://twitter.com/Ligne9_RATP/status/1482509211498172428
24,Ligne 9,@Ligne9_RATP,2022-01-15T23:53:02.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 16, 2022",Incident d'exploitation 00h52 Le trafic reprend progressivement sur l'ensemble de la ligne. #ligne9 #RATP,⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1482501108387962885
25,Ligne 9,@Ligne9_RATP,2022-01-15T23:17:45.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 16, 2022",[ Incident d'exploitation] 00h17 le trafic est rétabli sur l'ensemble de la #ligne9 #RATP,✅,,,3,[],https://twitter.com/Ligne9_RATP/status/1482492228962590724
26,Ligne 9,@Ligne9_RATP,2022-01-15T22:41:55.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 15, 2022",Incident d'exploitation 23h41 Le trafic reprend progressivement sur l'ensemble de la ligne. #ligne9 #RATP,⚠,,,3,[],https://twitter.com/Ligne9_RATP/status/1482483211846492162
27,Ligne 9,@Ligne9_RATP,2022-01-15T22:09:16.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 15, 2022",Incident d'exploitation 23h08 Le trafic reprend progressivement sur l'ensemble de la ligne. #ligne9 #RATP,⚠,1,,2,[],https://twitter.com/Ligne9_RATP/status/1482474995079163912
28,Ligne 9,@Ligne9_RATP,2022-01-15T07:03:55.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 15, 2022",[ Acte de malveillance] 8h03 Le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP,✅,1,,4,[],https://twitter.com/Ligne9_RATP/status/1482247154756472834
29,Ligne 9,@Ligne9_RATP,2022-01-14T22:36:01.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 14, 2022",[ Divers incidents] 23h35 Le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP,✅,,,1,[],https://twitter.com/Ligne9_RATP/status/1482119338651959296
30,Ligne 9,@Ligne9_RATP,2022-01-14T13:08:40.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 14, 2022",[  Intervention des équipes techniques] 14:08 - Le trafic est rétabli sur l’ensemble de la #Ligne9 #RATP,✅,,,1,[],https://twitter.com/Ligne9_RATP/status/1481976562362822657
31,Ligne 9,@Ligne9_RATP,2022-01-14T12:57:51.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 14, 2022",[ Intervention des équipes techniques] 13:57 - L’incident est terminé. Le trafic reprend progressivement sur l’ensemble de la #Ligne9 #RATP,⚠,,,2,[],https://twitter.com/Ligne9_RATP/status/1481973837797507080
32,Ligne 9,@Ligne9_RATP,2022-01-12T20:17:38.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 12, 2022",[ [Incident affectant la voie]. 21:17. Le trafic reprend progressivement sur l'ensemble de la ligne #ligne9 #RATP,⚠,,,3,[],https://twitter.com/Ligne9_RATP/status/1481359738705170436
33,Ligne 9,@Ligne9_RATP,2022-01-10T10:35:05.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 10, 2022",[ Divers incidents à Pont de Sèvres] 11h35: Le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP,✅,,,1,[],https://twitter.com/Ligne9_RATP/status/1480488359374082049
34,Ligne 9,@Ligne9_RATP,2022-01-10T09:02:55.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 10, 2022",[Bagage oublié à Pont de Sèvres] 10h02 : Le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP,✅,,,1,[],https://twitter.com/Ligne9_RATP/status/1480465162893246464
35,Ligne 9,@Ligne9_RATP,2022-01-09T18:14:16.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 9, 2022", Retour à un trafic régulier sur l'ensemble de la ligne. #ligne9 #RATP,✅,,,2,[],https://twitter.com/Ligne9_RATP/status/1480241530057248771
36,Ligne 9,@Ligne9_RATP,2022-01-09T18:00:52.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 9, 2022"," L'équipe cynophile est sur place, le trafic reprend progressivement sur la #ligne9 #RATP",ℹ ⚠,1,,2,[],https://twitter.com/Ligne9_RATP/status/1480238156842782732
37,Ligne 9,@Ligne9_RATP,2022-01-08T16:22:10.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 8, 2022","Fin d'incident, le trafic reprend progressivement sur l'ensemble de la #ligne9. #RATP",⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1479850928706658304
38,Ligne 9,@Ligne9_RATP,2022-01-05T23:13:44.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 6, 2022"," Malaise voyageur sur Strasbourg Saint Denis, 00h06, Retour à un trafic normal sur l'ensemble de la #ligne9 #ratp",✅,,,1,[],https://twitter.com/Ligne9_RATP/status/1478867338875265025
39,Ligne 9,@Ligne9_RATP,2022-01-05T12:15:59.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 5, 2022","[  Bagage oublié] 13h15 : Fin d'incident, le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP",✅,1,,1,[],https://twitter.com/Ligne9_RATP/status/1478701813536899076
40,Ligne 9,@Ligne9_RATP,2022-01-05T05:58:05.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 5, 2022","[  Incident d’exploitation] 06h57 : Fin d'incident, le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP",✅,,,1,[],https://twitter.com/Ligne9_RATP/status/1478606710117912581
41,Ligne 9,@Ligne9_RATP,2022-01-04T16:09:53.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 4, 2022", Retour à un trafic régulier sur l'ensemble de la ligne. #ligne9 #RATP,✅,,,1,[],https://twitter.com/Ligne9_RATP/status/1478398286524473344
42,Ligne 9,@Ligne9_RATP,2022-01-04T16:03:52.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 4, 2022","fin d'incident (bagage oublié), le trafic reprend progressivement sur l'ensemble de la #ligne9. #RATP.",⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1478396773685153792
