date,holiday_departure_zone_A,holiday_departure_zone_B,holiday_departure_zone_C,first_day_holidays_zone_A,first_day_holidays_zone_B,first_day_holidays_zone_C,holiday_day_zone_A,holiday_day_zone_B,holiday_day_zone_C,last_day_holidays_zone_A,last_day_holidays_zone_B,last_day_holidays_zone_C
2017-10-21,True,True,True,False,False,False,False,False,False,False,False,False
2017-10-22,False,False,False,True,True,True,False,False,False,False,False,False
2017-10-23,False,False,False,False,False,False,True,True,True,False,False,False
2017-10-24,False,False,False,False,False,False,True,True,True,False,False,False
2017-10-25,False,False,False,False,False,False,True,True,True,False,False,False
2017-10-26,False,False,False,False,False,False,True,True,True,False,False,False
2017-10-27,False,False,False,False,False,False,True,True,True,False,False,False
2017-10-28,False,False,False,False,False,False,True,True,True,False,False,False
2017-10-29,False,False,False,False,False,False,True,True,True,False,False,False
2017-10-30,False,False,False,False,False,False,True,True,True,False,False,False
2017-10-31,False,False,False,False,False,False,True,True,True,False,False,False
2017-11-01,False,False,False,False,False,False,True,True,True,False,False,False
2017-11-02,False,False,False,False,False,False,True,True,True,False,False,False
2017-11-03,False,False,False,False,False,False,True,True,True,False,False,False
2017-11-04,False,False,False,False,False,False,True,True,True,False,False,False
2017-11-05,False,False,False,False,False,False,False,False,False,True,True,True
2017-12-23,True,True,True,False,False,False,False,False,False,False,False,False
2017-12-24,False,False,False,True,True,True,False,False,False,False,False,False
2017-12-25,False,False,False,False,False,False,True,True,True,False,False,False
2017-12-26,False,False,False,False,False,False,True,True,True,False,False,False
2017-12-27,False,False,False,False,False,False,True,True,True,False,False,False
2017-12-28,False,False,False,False,False,False,True,True,True,False,False,False
2017-12-29,False,False,False,False,False,False,True,True,True,False,False,False
2017-12-30,False,False,False,False,False,False,True,True,True,False,False,False
2017-12-31,False,False,False,False,False,False,True,True,True,False,False,False
2018-01-01,False,False,False,False,False,False,True,True,True,False,False,False
2018-01-02,False,False,False,False,False,False,True,True,True,False,False,False
2018-01-03,False,False,False,False,False,False,True,True,True,False,False,False
2018-01-04,False,False,False,False,False,False,True,True,True,False,False,False
2018-01-05,False,False,False,False,False,False,True,True,True,False,False,False
2018-01-06,False,False,False,False,False,False,True,True,True,False,False,False
2018-01-07,False,False,False,False,False,False,False,False,False,True,True,True
2018-02-10,True,False,False,False,False,False,False,False,False,False,False,False
2018-02-11,False,False,False,True,False,False,False,False,False,False,False,False
2018-02-12,False,False,False,False,False,False,True,False,False,False,False,False
2018-02-13,False,False,False,False,False,False,True,False,False,False,False,False
